round,club,opponent,fixture
5,LIV,TOT,48
6,LIV,SOU,58
7,LIV,CHE,64
8,LIV,MCI,76
9,LIV,HUD,86
10,LIV,CAR,96
11,LIV,ARS,101
12,LIV,FUL,117
13,LIV,WAT,128
14,LIV,EVE,137
15,LIV,BUR,143
16,LIV,BOU,152
17,LIV,MUN,165
18,LIV,WOL,180
19,LIV,NEW,186
20,LIV,ARS,196
21,LIV,MCI,207
22,LIV,BHA,211
23,LIV,CRY,225
24,LIV,LEI,237
25,LIV,WHU,250
26,LIV,BOU,255
27,LIV,MUN,268
28,LIV,WAT,277
29,LIV,EVE,284
30,LIV,BUR,297
31,LIV,FUL,305
32,LIV,TOT,318
33,LIV,SOU,327
34,LIV,CHE,336
35,LIV,CAR,343
36,LIV,HUD,356
37,LIV,NEW,368
38,LIV,WOL,376
1,MCI,ARS,1
2,MCI,HUD,18
3,MCI,WOL,30
4,MCI,NEW,38
5,MCI,FUL,45
6,MCI,CAR,54
7,MCI,BHA,67
8,MCI,LIV,76
9,MCI,BUR,87
10,MCI,TOT,99
11,MCI,SOU,107
12,MCI,MUN,118
13,MCI,WHU,129
14,MCI,BOU,138
15,MCI,WAT,146
16,MCI,CHE,155
17,MCI,EVE,166
18,MCI,CRY,177
19,MCI,LEI,185
20,MCI,SOU,198
21,MCI,LIV,207
22,MCI,WOL,218
23,MCI,HUD,224
24,MCI,NEW,238
25,MCI,ARS,248
25,MCI,EVE,266
26,MCI,CHE,256
28,MCI,WHU,278
29,MCI,BOU,281
30,MCI,WAT,298
32,MCI,FUL,316
32,MCI,CAR,325
34,MCI,CRY,333
35,MCI,TOT,347
35,MCI,MUN,306
36,MCI,BUR,352
37,MCI,LEI,367
38,MCI,BHA,371
1,MUN,LEI,6
2,MUN,BHA,11
3,MUN,TOT,26
4,MUN,BUR,32
5,MUN,WAT,49
6,MUN,WOL,59
7,MUN,WHU,69
8,MUN,NEW,77
9,MUN,CHE,84
10,MUN,EVE,97
11,MUN,BOU,102
12,MUN,MCI,118
13,MUN,CRY,126
14,MUN,SOU,140
15,MUN,ARS,145
16,MUN,FUL,158
17,MUN,LIV,165
18,MUN,CAR,173
19,MUN,HUD,187
20,MUN,BOU,197
21,MUN,NEW,208
22,MUN,TOT,219
23,MUN,BHA,226
24,MUN,BUR,235
25,MUN,LEI,247
26,MUN,FUL,253
27,MUN,LIV,268
28,MUN,CRY,273
29,MUN,SOU,286
30,MUN,ARS,291
32,MUN,WAT,319
32,MUN,WOL,330
34,MUN,WHU,337
35,MUN,EVE,345
35,MUN,MCI,306
36,MUN,CHE,357
37,MUN,HUD,366
38,MUN,CAR,377
1,NEW,TOT,7
2,NEW,CAR,13
3,NEW,CHE,27
4,NEW,MCI,38
5,NEW,ARS,46
6,NEW,CRY,55
7,NEW,LEI,68
8,NEW,MUN,77
9,NEW,BHA,88
10,NEW,SOU,98
11,NEW,WAT,108
12,NEW,BOU,119
13,NEW,BUR,123
14,NEW,WHU,139
15,NEW,EVE,149
16,NEW,WOL,159
17,NEW,HUD,164
18,NEW,FUL,178
19,NEW,LIV,186
20,NEW,WAT,200
21,NEW,MUN,208
22,NEW,CHE,214
23,NEW,CAR,227
24,NEW,MCI,238
25,NEW,TOT,249
26,NEW,WOL,260
27,NEW,HUD,269
28,NEW,BUR,279
29,NEW,WHU,289
30,NEW,EVE,299
31,NEW,BOU,301
32,NEW,ARS,311
33,NEW,CRY,326
34,NEW,LEI,335
35,NEW,SOU,348
36,NEW,BHA,351
37,NEW,LIV,368
38,NEW,FUL,374
1,SOU,BUR,8
2,SOU,EVE,16
3,SOU,LEI,28
4,SOU,CRY,35
5,SOU,BHA,47
6,SOU,LIV,58
7,SOU,WOL,70
8,SOU,CHE,78
9,SOU,BOU,82
10,SOU,NEW,98
11,SOU,MCI,107
12,SOU,WAT,120
13,SOU,FUL,125
14,SOU,MUN,140
15,SOU,TOT,150
16,SOU,CAR,154
17,SOU,ARS,167
18,SOU,HUD,176
19,SOU,WHU,188
20,SOU,MCI,198
21,SOU,CHE,204
22,SOU,LEI,217
23,SOU,EVE,228
24,SOU,CRY,239
25,SOU,BUR,242
26,SOU,CAR,257
27,SOU,ARS,261
28,SOU,FUL,280
29,SOU,MUN,286
30,SOU,TOT,300
32,SOU,BHA,312
33,SOU,LIV,327
34,SOU,WOL,338
35,SOU,NEW,348
35,SOU,WAT,308
36,SOU,BOU,358
37,SOU,WHU,369
38,SOU,HUD,378
1,TOT,NEW,7
2,TOT,FUL,19
3,TOT,MUN,26
4,TOT,WAT,39
5,TOT,LIV,48
6,TOT,BHA,52
7,TOT,HUD,66
