club,opponent,round,was_home,date
WHU,SHU,22,FALSE,10-1-2020 20:00
WOL,NEW,22,TRUE,11-1-2020 15:00
ARS,SHU,23,TRUE,18-1-2020 15:00
AVL,BHA,23,FALSE,18-1-2020 15:00
BOU,NOR,23,FALSE,18-1-2020 15:00
BHA,AVL,23,TRUE,18-1-2020 15:00
BUR,LEI,23,TRUE,19-1-2020 14:00
CHE,NEW,23,FALSE,18-1-2020 17:30
CRY,MCI,23,FALSE,18-1-2020 15:00
EVE,WHU,23,FALSE,18-1-2020 15:00
LEI,BUR,23,FALSE,19-1-2020 14:00
LIV,MUN,23,TRUE,19-1-2020 16:30
MCI,CRY,23,TRUE,18-1-2020 15:00
MUN,LIV,23,FALSE,19-1-2020 16:30
NEW,CHE,23,TRUE,18-1-2020 17:30
NOR,BOU,23,TRUE,18-1-2020 15:00
SHU,ARS,23,FALSE,18-1-2020 15:00
SOU,WOL,23,TRUE,18-1-2020 15:00
TOT,WAT,23,FALSE,18-1-2020 12:30
WAT,TOT,23,TRUE,18-1-2020 12:30
WHU,EVE,23,TRUE,18-1-2020 15:00
WOL,SOU,23,FALSE,18-1-2020 15:00
ARS,CHE,24,FALSE,21-01-2020 20:15
AVL,WAT,24,TRUE,21-01-2020 19:30
BOU,BHA,24,TRUE,21-01-2020 19:30
BHA,BOU,24,FALSE,21-01-2020 19:30
BUR,MUN,24,FALSE,22-01-2020 20:15
CHE,ARS,24,TRUE,21-01-2020 20:15
CRY,SOU,24,TRUE,21-01-2020 19:30
EVE,NEW,24,TRUE,21-01-2020 19:30
LEI,WHU,24,TRUE,22-01-2020 19:30
LIV,WOL,24,FALSE,23-01-2020 20:00
MCI,SHU,24,FALSE,21-01-2020 19:30
MUN,BUR,24,TRUE,22-01-2020 20:15
NEW,EVE,24,FALSE,21-01-2020 19:30
NOR,TOT,24,FALSE,22-01-2020 19:30
SHU,MCI,24,TRUE,21-01-2020 19:30
SOU,CRY,24,FALSE,21-01-2020 19:30
TOT,NOR,24,TRUE,22-01-2020 19:30
WAT,AVL,24,FALSE,21-01-2020 19:30
WHU,LEI,24,FALSE,22-01-2020 19:30
WOL,LIV,24,TRUE,23-01-2020 20:00
LIV,WHU,24,FALSE,29-01-2020 19:45
WHU,LIV,24,TRUE,29-01-2020 19:45
ARS,BUR,25,FALSE,2-2-2020 14:00
AVL,BOU,25,TRUE,1-2-2020 15:00
BOU,AVL,25,FALSE,1-2-2020 15:00
BHA,WHU,25,TRUE,1-2-2020 15:00
BUR,ARS,25,TRUE,2-2-2020 14:00
CHE,LEI,25,FALSE,1-2-2020 12:30
CRY,SHU,25,TRUE,1-2-2020 15:00
EVE,WAT,25,FALSE,1-2-2020 15:00
LEI,CHE,25,TRUE,1-2-2020 12:30
LIV,SOU,25,TRUE,1-2-2020 15:00
MCI,TOT,25,FALSE,2-2-2020 16:30
MUN,WOL,25,TRUE,1-2-2020 17:30
NEW,NOR,25,TRUE,1-2-2020 15:00
NOR,NEW,25,FALSE,1-2-2020 15:00
SHU,CRY,25,FALSE,1-2-2020 15:00
SOU,LIV,25,FALSE,1-2-2020 15:00
TOT,MCI,25,TRUE,2-2-2020 16:30
WAT,EVE,25,TRUE,1-2-2020 15:00
WHU,BHA,25,TRUE,1-2-2020 15:00
WOL,MUN,25,FALSE,1-2-2020 17:30
ARS,NEW,26,TRUE,16-02-2020 16:30
AVL,TOT,26,TRUE,16-02-2020 14:00
BOU,SHU,26,FALSE,9-2-2020 14:00
BHA,WAT,26,TRUE,8-2-2020 17:30
BUR,SOU,26,FALSE,15-2-2020 12:30
CHE,MUN,26,TRUE,17-2-2020 20:00
CRY,EVE,26,FALSE,8-2-2020 12:30
EVE,CRY,26,TRUE,8-2-2020 12:30
LEI,WOL,26,FALSE,14-2-2020 20:00
LIV,NOR,26,FALSE,15-2-2020 17:30
MCI,WHU,26,TRUE,9-2-2020 16:30
MUN,CHE,26,FALSE,17-2-2020 20:00
NEW,ARS,26,FALSE,16-02-2020 16:30
NOR,LIV,26,TRUE,15-2-2020 17:30
SHU,BOU,26,TRUE,9-2-2020 14:00
SOU,BUR,26,TRUE,15-2-2020 12:30
TOT,AVL,26,FALSE,16-02-2020 14:00
WAT,BHA,26,FALSE,8-2-2020 17:30
WHU,MCI,26,FALSE,9-2-2020 16:30
WOL,LEI,26,TRUE,14-2-2020 20:00
ARS,EVE,27,TRUE,23-2-2020 16:30
AVL,SOU,27,FALSE,22-2-2020 15:00
BOU,BUR,27,FALSE,22-2-2020 15:00
BHA,SHU,27,FALSE,22-2-2020 15:00
BUR,BOU,27,TRUE,22-2-2020 15:00
CHE,TOT,27,TRUE,22-2-2020 12:30
CRY,NEW,27,TRUE,22-2-2020 15:00
EVE,ARS,27,FALSE,23-2-2020 16:30
LEI,MCI,27,TRUE,22-2-2020 17:30
LIV,WHU,27,TRUE,24-02-2020 20:00
MCI,LEI,27,FALSE,22-2-2020 17:30
MUN,WAT,27,TRUE,23-2-2020 14:00
NEW,CRY,27,FALSE,22-2-2020 15:00
NOR,WOL,27,FALSE,23-2-2020 14:00
SHU,BHA,27,TRUE,22-2-2020 15:00
SOU,AVL,27,TRUE,22-2-2020 15:00
TOT,CHE,27,FALSE,22-2-2020 12:30
WAT,MUN,27,FALSE,23-2-2020 14:00
WHU,LIV,27,FALSE,24-02-2020 20:00
WOL,NOR,27,TRUE,23-2-2020 14:00
ARS,MCI,28,FALSE,1-3-2020 14:00
AVL,SHU,28,TRUE,29-02-2020 15:00
BOU,CHE,28,TRUE,29-02-2020 15:00
BHA,CRY,28,TRUE,29-02-2020 12:30
BUR,NEW,28,FALSE,29-02-2020 15:00
CHE,BOU,28,FALSE,29-02-2020 15:00
CRY,BHA,28,FALSE,29-02-2020 12:30
EVE,MUN,28,TRUE,1-3-2020 14:00
LEI,NOR,28,FALSE,28-2-2020 20:00
LIV,WAT,28,FALSE,29-02-2020 17:30
MCI,ARS,28,TRUE,1-3-2020 14:00
MUN,EVE,28,FALSE,1-3-2020 14:00
NEW,BUR,28,TRUE,29-02-2020 15:00
NOR,LEI,28,TRUE,28-2-2020 20:00
SHU,AVL,28,FALSE,29-02-2020 15:00
SOU,WHU,28,FALSE,29-02-2020 15:00
TOT,WOL,28,TRUE,1-3-2020 14:00
WAT,LIV,28,TRUE,29-02-2020 17:30
WHU,SOU,28,TRUE,29-02-2020 15:00
WOL,TOT,28,FALSE,1-3-2020 14:00
ARS,WHU,29,TRUE,7-3-2020 15:00
AVL,LEI,29,FALSE,7-3-2020 15:00
BOU,LIV,29,FALSE,7-3-2020 15:00
BHA,WOL,29,FALSE,7-3-2020 15:00
BUR,TOT,29,TRUE,7-3-2020 15:00
CHE,EVE,29,TRUE,7-3-2020 15:00
CRY,WAT,29,TRUE,7-3-2020 15:00
EVE,CHE,29,FALSE,7-3-2020 15:00
LEI,AVL,29,TRUE,7-3-2020 15:00
LIV,BOU,29,TRUE,7-3-2020 15:00
MCI,MUN,29,FALSE,7-3-2020 15:00
MUN,MCI,29,TRUE,7-3-2020 15:00
NEW,SOU,29,FALSE,7-3-2020 15:00
NOR,SHU,29,FALSE,7-3-2020 15:00
SHU,NOR,29,TRUE,7-3-2020 15:00
SOU,NEW,29,TRUE,7-3-2020 15:00
TOT,BUR,29,FALSE,7-3-2020 15:00
WAT,CRY,29,FALSE,7-3-2020 15:00
WHU,ARS,29,FALSE,7-3-2020 15:00
WOL,BHA,29,TRUE,7-3-2020 15:00
ARS,BHA,30,FALSE,14-3-2020 15:00
AVL,CHE,30,TRUE,14-3-2020 15:00
BOU,CRY,30,TRUE,14-3-2020 15:00
BHA,ARS,30,TRUE,14-3-2020 15:00
BUR,MCI,30,FALSE,14-3-2020 15:00
CHE,AVL,30,FALSE,14-3-2020 15:00
CRY,BOU,30,FALSE,14-3-2020 15:00
EVE,LIV,30,TRUE,14-3-2020 15:00
LEI,WAT,30,FALSE,14-3-2020 15:00
LIV,EVE,30,FALSE,14-3-2020 15:00
MCI,BUR,30,TRUE,14-3-2020 15:00
MUN,TOT,30,FALSE,14-3-2020 15:00
NEW,SHU,30,TRUE,14-3-2020 15:00
NOR,SOU,30,TRUE,14-3-2020 15:00
SHU,NEW,30,FALSE,14-3-2020 15:00
SOU,NOR,30,FALSE,14-3-2020 15:00
TOT,MUN,30,TRUE,14-3-2020 15:00
WAT,LEI,30,TRUE,14-3-2020 15:00
WHU,WOL,30,TRUE,14-3-2020 15:00
WOL,WHU,30,FALSE,14-3-2020 15:00
ARS,SOU,31,FALSE,21-3-2020 15:00
AVL,NEW,31,FALSE,21-3-2020 15:00
BOU,WOL,31,FALSE,21-3-2020 15:00
BHA,LEI,31,FALSE,21-3-2020 15:00
BUR,WAT,31,TRUE,21-3-2020 15:00
CHE,MCI,31,TRUE,21-3-2020 15:00
CRY,LIV,31,FALSE,21-3-2020 15:00
EVE,NOR,31,FALSE,21-3-2020 15:00
LEI,BHA,31,TRUE,21-3-2020 15:00
LIV,CRY,31,TRUE,21-3-2020 15:00
MCI,CHE,31,FALSE,21-3-2020 15:00
MUN,SHU,31,TRUE,21-3-2020 15:00
NEW,AVL,31,TRUE,21-3-2020 15:00
NOR,EVE,31,TRUE,21-3-2020 15:00
SHU,MUN,31,FALSE,21-3-2020 15:00
SOU,ARS,31,TRUE,21-3-2020 15:00
TOT,WHU,31,TRUE,21-3-2020 15:00
WAT,BUR,31,FALSE,21-3-2020 15:00
WHU,TOT,31,FALSE,21-3-2020 15:00
WOL,BOU,31,TRUE,21-3-2020 15:00
ARS,NOR,32,TRUE,4-4-2020 14:00
AVL,WOL,32,TRUE,4-4-2020 14:00
BOU,NEW,32,TRUE,4-4-2020 14:00
BHA,MUN,32,TRUE,4-4-2020 14:00
BUR,CRY,32,FALSE,4-4-2020 14:00
CHE,WHU,32,FALSE,4-4-2020 14:00
CRY,BUR,32,TRUE,4-4-2020 14:00
EVE,LEI,32,TRUE,4-4-2020 14:00
LEI,EVE,32,FALSE,4-4-2020 14:00
LIV,MCI,32,FALSE,4-4-2020 14:00
MCI,LIV,32,TRUE,4-4-2020 14:00
MUN,BHA,32,FALSE,4-4-2020 14:00
NEW,BOU,32,FALSE,4-4-2020 14:00
NOR,ARS,32,FALSE,4-4-2020 14:00
SHU,TOT,32,TRUE,4-4-2020 14:00
SOU,WAT,32,FALSE,4-4-2020 14:00
TOT,SHU,32,FALSE,4-4-2020 14:00
WAT,SOU,32,TRUE,4-4-2020 14:00
WHU,CHE,32,TRUE,4-4-2020 14:00
WOL,AVL,32,FALSE,4-4-2020 14:00
ARS,WOL,33,FALSE,11-4-2020 14:00
AVL,LIV,33,FALSE,11-4-2020 14:00
BOU,MUN,33,FALSE,11-4-2020 14:00
BHA,NOR,33,FALSE,11-4-2020 14:00
BUR,SHU,33,TRUE,11-4-2020 14:00
CHE,WAT,33,TRUE,11-4-2020 14:00
CRY,LEI,33,FALSE,11-4-2020 14:00
EVE,TOT,33,FALSE,11-4-2020 14:00
LEI,CRY,33,TRUE,11-4-2020 14:00
LIV,AVL,33,TRUE,11-4-2020 14:00
MCI,SOU,33,FALSE,11-4-2020 14:00
MUN,BOU,33,TRUE,11-4-2020 14:00
NEW,WHU,33,TRUE,11-4-2020 14:00
NOR,BHA,33,TRUE,11-4-2020 14:00
SHU,BUR,33,FALSE,11-4-2020 14:00
SOU,MCI,33,TRUE,11-4-2020 14:00
TOT,EVE,33,TRUE,11-4-2020 14:00
WAT,CHE,33,FALSE,11-4-2020 14:00
WHU,NEW,33,FALSE,11-4-2020 14:00
WOL,ARS,33,TRUE,11-4-2020 14:00
ARS,LEI,34,TRUE,18-4-2020 14:00
AVL,MUN,34,TRUE,18-4-2020 14:00
BOU,TOT,34,TRUE,18-4-2020 14:00
BHA,LIV,34,TRUE,18-4-2020 14:00
BUR,WHU,34,FALSE,18-4-2020 14:00
CHE,CRY,34,FALSE,18-4-2020 14:00
CRY,CHE,34,TRUE,18-4-2020 14:00
EVE,SOU,34,TRUE,18-4-2020 14:00
LEI,ARS,34,FALSE,18-4-2020 14:00
LIV,BHA,34,FALSE,18-4-2020 14:00
MCI,NEW,34,TRUE,18-4-2020 14:00
MUN,AVL,34,FALSE,18-4-2020 14:00
NEW,MCI,34,FALSE,18-4-2020 14:00
NOR,WAT,34,FALSE,18-4-2020 14:00
SHU,WOL,34,TRUE,18-4-2020 14:00
SOU,EVE,34,FALSE,18-4-2020 14:00
TOT,BOU,34,FALSE,18-4-2020 14:00
WAT,NOR,34,TRUE,18-4-2020 14:00
WHU,BUR,34,TRUE,18-4-2020 14:00
WOL,SHU,34,FALSE,18-4-2020 14:00
ARS,TOT,35,FALSE,25-4-2020 14:00
AVL,CRY,35,TRUE,25-4-2020 14:00
BOU,LEI,35,TRUE,25-4-2020 14:00
BHA,MCI,35,TRUE,25-4-2020 14:00
BUR,LIV,35,FALSE,25-4-2020 14:00
CHE,SHU,35,FALSE,25-4-2020 14:00
CRY,AVL,35,FALSE,25-4-2020 14:00
EVE,WOL,35,FALSE,25-4-2020 14:00
LEI,BOU,35,FALSE,25-4-2020 14:00
LIV,BUR,35,TRUE,25-4-2020 14:00
MCI,BHA,35,FALSE,25-4-2020 14:00
MUN,SOU,35,TRUE,25-4-2020 14:00
NEW,WAT,35,FALSE,25-4-2020 14:00
NOR,WHU,35,TRUE,25-4-2020 14:00
SHU,CHE,35,TRUE,25-4-2020 14:00
SOU,MUN,35,FALSE,25-4-2020 14:00
TOT,ARS,35,TRUE,25-4-2020 14:00
WAT,NEW,35,TRUE,25-4-2020 14:00
WHU,NOR,35,FALSE,25-4-2020 14:00
WOL,EVE,35,TRUE,25-4-2020 14:00
ARS,LIV,36,TRUE,2-5-2020 14:00
AVL,EVE,36,FALSE,2-5-2020 14:00
BOU,MCI,36,FALSE,2-5-2020 14:00
BHA,SOU,36,FALSE,2-5-2020 14:00
BUR,WOL,36,TRUE,2-5-2020 14:00
CHE,NOR,36,TRUE,2-5-2020 14:00
CRY,MUN,36,TRUE,2-5-2020 14:00
EVE,AVL,36,TRUE,2-5-2020 14:00
LEI,SHU,36,TRUE,2-5-2020 14:00
LIV,ARS,36,FALSE,2-5-2020 14:00
MCI,BOU,36,TRUE,2-5-2020 14:00
MUN,CRY,36,FALSE,2-5-2020 14:00
